Container stores 10000 shapes:
Parallelepiped: a = 9, b = 1, c = 6; Density = 1; SurfaceArea = 138.0
Tetrahedron: a = 8; Density = 28; SurfaceArea = 110.85125168440814
Sphere: r = 13; Density = 29; SurfaceArea = 2123.7166338267
Parallelepiped: a = 20, b = 21, c = 30; Density = 15; SurfaceArea = 3300.0
Sphere: r = 29; Density = 19; SurfaceArea = 10568.317686676064
Sphere: r = 23; Density = 2; SurfaceArea = 6647.610054996002
Sphere: r = 1; Density = 30; SurfaceArea = 12.566370614359172
Tetrahedron: a = 5; Density = 1; SurfaceArea = 43.30127018922193
Tetrahedron: a = 14; Density = 8; SurfaceArea = 339.4819582834999
Tetrahedron: a = 27; Density = 4; SurfaceArea = 1262.6650387177115
Parallelepiped: a = 3, b = 15, c = 5; Density = 18; SurfaceArea = 270.0
Parallelepiped: a = 24, b = 30, c = 28; Density = 12; SurfaceArea = 4464.0
Tetrahedron: a = 23; Density = 3; SurfaceArea = 916.2548772039361
Sphere: r = 24; Density = 20; SurfaceArea = 7238.229473870883
Sphere: r = 6; Density = 24; SurfaceArea = 452.3893421169302
Tetrahedron: a = 17; Density = 7; SurfaceArea = 500.5626833874055
Sphere: r = 19; Density = 26; SurfaceArea = 4536.459791783661
Sphere: r = 4; Density = 6; SurfaceArea = 201.06192982974676
Tetrahedron: a = 24; Density = 11; SurfaceArea = 997.6612651596732
Parallelepiped: a = 14, b = 16, c = 30; Density = 25; SurfaceArea = 2248.0
Sphere: r = 5; Density = 9; SurfaceArea = 314.1592653589793
Parallelepiped: a = 27, b = 9, c = 7; Density = 6; SurfaceArea = 990.0
Parallelepiped: a = 20, b = 21, c = 6; Density = 20; SurfaceArea = 1332.0
Sphere: r = 21; Density = 8; SurfaceArea = 5541.769440932395
Tetrahedron: a = 27; Density = 4; SurfaceArea = 1262.6650387177115
Parallelepiped: a = 19, b = 19, c = 8; Density = 6; SurfaceArea = 1330.0
Tetrahedron: a = 2; Density = 15; SurfaceArea = 6.928203230275509
Tetrahedron: a = 2; Density = 14; SurfaceArea = 6.928203230275509
Tetrahedron: a = 7; Density = 8; SurfaceArea = 84.87048957087498
Tetrahedron: a = 8; Density = 27; SurfaceArea = 110.85125168440814
Parallelepiped: a = 6, b = 5, c = 11; Density = 26; SurfaceArea = 302.0
Sphere: r = 20; Density = 30; SurfaceArea = 5026.548245743669
Parallelepiped: a = 30, b = 29, c = 27; Density = 23; SurfaceArea = 4926.0
Sphere: r = 11; Density = 23; SurfaceArea = 1520.53084433746
Tetrahedron: a = 13; Density = 13; SurfaceArea = 292.71658647914023
Tetrahedron: a = 28; Density = 27; SurfaceArea = 1357.9278331339997
Tetrahedron: a = 8; Density = 3; SurfaceArea = 110.85125168440814
Parallelepiped: a = 12, b = 10, c = 13; Density = 19; SurfaceArea = 812.0
Tetrahedron: a = 14; Density = 24; SurfaceArea = 339.4819582834999
Parallelepiped: a = 17, b = 4, c = 29; Density = 5; SurfaceArea = 1354.0
Sphere: r = 25; Density = 10; SurfaceArea = 7853.981633974483
Tetrahedron: a = 16; Density = 20; SurfaceArea = 443.40500673763256
Sphere: r = 11; Density = 26; SurfaceArea = 1520.53084433746
Sphere: r = 19; Density = 16; SurfaceArea = 4536.459791783661
Tetrahedron: a = 25; Density = 15; SurfaceArea = 1082.5317547305483
Tetrahedron: a = 4; Density = 26; SurfaceArea = 27.712812921102035
Parallelepiped: a = 25, b = 6, c = 28; Density = 21; SurfaceArea = 2036.0
Parallelepiped: a = 21, b = 8, c = 20; Density = 6; SurfaceArea = 1496.0
Sphere: r = 8; Density = 23; SurfaceArea = 804.247719318987
Tetrahedron: a = 9; Density = 20; SurfaceArea = 140.29611541307906
Parallelepiped: a = 14, b = 23, c = 22; Density = 16; SurfaceArea = 2272.0
Tetrahedron: a = 17; Density = 29; SurfaceArea = 500.5626833874055
Tetrahedron: a = 21; Density = 3; SurfaceArea = 763.8344061378748
Parallelepiped: a = 10, b = 12, c = 26; Density = 1; SurfaceArea = 1384.0
Tetrahedron: a = 16; Density = 26; SurfaceArea = 443.40500673763256
Parallelepiped: a = 15, b = 19, c = 25; Density = 11; SurfaceArea = 2270.0
Sphere: r = 9; Density = 3; SurfaceArea = 1017.8760197630929
Sphere: r = 6; Density = 4; SurfaceArea = 452.3893421169302
Sphere: r = 8; Density = 22; SurfaceArea = 804.247719318987
Parallelepiped: a = 27, b = 13, c = 14; Density = 10; SurfaceArea = 1822.0
Sphere: r = 21; Density = 27; SurfaceArea = 5541.769440932395
Parallelepiped: a = 26, b = 7, c = 18; Density = 13; SurfaceArea = 1552.0
Parallelepiped: a = 30, b = 6, c = 25; Density = 23; SurfaceArea = 2160.0
Parallelepiped: a = 11, b = 7, c = 4; Density = 29; SurfaceArea = 298.0
Parallelepiped: a = 25, b = 23, c = 19; Density = 12; SurfaceArea = 2974.0
Parallelepiped: a = 12, b = 17, c = 2; Density = 10; SurfaceArea = 524.0
Sphere: r = 6; Density = 19; SurfaceArea = 452.3893421169302
Parallelepiped: a = 27, b = 28, c = 19; Density = 18; SurfaceArea = 3602.0
Tetrahedron: a = 2; Density = 7; SurfaceArea = 6.928203230275509
Tetrahedron: a = 25; Density = 1; SurfaceArea = 1082.5317547305483
Tetrahedron: a = 23; Density = 17; SurfaceArea = 916.2548772039361
Sphere: r = 2; Density = 23; SurfaceArea = 50.26548245743669
Sphere: r = 13; Density = 13; SurfaceArea = 2123.7166338267
Tetrahedron: a = 2; Density = 14; SurfaceArea = 6.928203230275509
Tetrahedron: a = 11; Density = 4; SurfaceArea = 209.57814771583415
Tetrahedron: a = 3; Density = 23; SurfaceArea = 15.588457268119894
